id,country,score,complexity,ads_score_category
1773565012392960,CA,0.002498136742876742,0.01,0-21.2%
1773590057668610,US,0.002497912209919113,0.01,0-21.2%
1773551119166460,PH,0.002496192650795055,0.01,0-21.2%
1773552000958460,PH,0.002489915881896053,0.01,0-21.2%
1773552000958460,PH,0.002489915881896053,0.01,0-21.2%
1773550275275770,MY,0.0024887003725829137,0.01,0-21.2%
1773589275080710,US,0.0024868981128722692,0.01,0-21.2%
1773603966671870,BE,0.0024848620360929485,0.01,0-21.2%
1773523237441540,US,0.002470722614014361,0.01,0-21.2%
1773528021353470,KH,0.0024704102180242993,0.01,0-21.2%
1773602448899070,TH,0.0024691034794482275,0.01,0-21.2%
1773579419570180,NL,0.0024648004830585047,0.01,0-21.2%
1773515784203260,TR,0.0024622591723103223,0.01,0-21.2%
1773538794257410,US,0.00245647007655914,0.01,0-21.2%
1773543530161150,MY,0.0024512667692342177,0.01,0-21.2%
1773527490248700,MY,0.0024512667692342177,0.01,0-21.2%
1773569919510520,MY,0.0024512667692342177,0.01,0-21.2%
1773541475258360,MY,0.0024512667692342177,0.01,0-21.2%
1773615769844730,MY,0.0024512667692342177,0.01,0-21.2%
1773569783484410,MY,0.0024512667692342177,0.01,0-21.2%
1773584453693440,US,0.0024496188011948906,0.01,0-21.2%
1773536393566200,TH,0.0024463956656782956,0.01,0-21.2%
1773536393566200,TH,0.0024463956656782956,0.01,0-21.2%
1773579183981570,NL,0.0024415244337629622,0.01,0-21.2%
1773533294127100,PH,0.002440329001424469,0.01,0-21.2%
1773464187592700,SA,0.0024392348901203418,0.01,0-21.2%
1773567280954370,DE,0.0024376929240387452,0.01,0-21.2%
1773586485575680,TH,0.0024376363663504413,0.01,0-21.2%
1773595451247620,TH,0.0024376363663504413,0.01,0-21.2%
1773593830308870,TH,0.0024376363663504413,0.01,0-21.2%
1773584737742850,TH,0.0024376363663504413,0.01,0-21.2%
1773459889272830,VN,0.002431641251389112,0.01,0-21.2%
1773529350218750,TH,0.002424628098038109,0.01,0-21.2%
1773530329934850,TH,0.002424628098038109,0.01,0-21.2%
1773575625069570,US,0.0024238928480900318,0.01,0-21.2%
1773548109740030,US,0.0024238928480900318,0.01,0-21.2%
1773546299092000,US,0.0024238928480900318,0.01,0-21.2%
1773527748720640,US,0.0024238928480900318,0.01,0-21.2%
1773527008761860,US,0.0024238928480900318,0.01,0-21.2%
1773527748720640,US,0.0024238928480900318,0.01,0-21.2%
1773582370859030,US,0.0024238928480900318,0.01,0-21.2%
1773530957360130,AT,0.0024188026561417423,0.01,0-21.2%
1773575587981310,TR,0.0024169530920458136,0.01,0-21.2%
1773608792082430,ES,0.0024158050986610776,0.01,0-21.2%
1773573730910210,US,0.0024114406798559744,0.01,0-21.2%
1773495797705730,SA,0.0024097639997749357,0.01,0-21.2%
1773566969344000,TR,0.0024047328567094167,0.01,0-21.2%
1773560305597440,TH,0.002402627157283834,0.01,0-21.2%
1773570930426880,GB,0.0023975935230238225,0.01,0-21.2%
1773576680498180,US,0.002393182023335307,0.01,0-21.2%
1773574818329600,DE,0.0023907500427377826,0.01,0-21.2%
1773574737774670,DE,0.0023907500427377826,0.01,0-21.2%
1773568293621760,KH,0.002384006417604959,0.01,0-21.2%
1773570040762370,GB,0.0023798701007190725,0.01,0-21.2%
1773592269003780,RO,0.002376101601464384,0.01,0-21.2%
1773591597014030,RO,0.002376101601464384,0.01,0-21.2%
1773592759925760,RO,0.002376101601464384,0.01,0-21.2%
1773527611863040,SA,0.002369880255749788,0.01,0-21.2%
1773591830534160,US,0.002365129409931373,0.01,0-21.2%
1773600552795140,US,0.002356589198995886,0.01,0-21.2%
1773595939474450,US,0.0023525586634602865,0.01,0-21.2%
1773600041425920,US,0.002347483411177284,0.01,0-21.2%
1773524508538000,US,0.0023442596229433527,0.01,0-21.2%
1773554411801600,SA,0.0023380578665171815,0.01,0-21.2%
