id,country,score,complexity,ads_score_category
1747578422390810,US,1.0,1.8892515425245988,>50%
1772649173252140,GR,1.0,2.3893749369061448,>50%
1772609889191930,FI,1.0,1.5558359462702345,>50%
1772673605085210,GB,1.0,1.858941033774202,>50%
1758445350450200,JP,1.0,4.056452918177966,>50%
1765107022556160,AU,1.0,1.980183068775789,>50%
1738152322446330,SA,1.0,1.7225437443974165,>50%
1765107022556160,AU,1.0,1.980183068775789,>50%
1771892788147230,US,1.0,1.5255254375198377,>50%
1765107022556160,AU,1.0,2.2984434106549543,>50%
1768247606647850,US,1.0,1.8892515425245988,>50%
1772634217617450,FR,1.0,1.858941033774202,>50%
1773357402214430,VN,1.0,2.4348407000317405,>50%
1773357402214430,VN,1.0,2.4196854456565413,>50%
1772591338642460,MX,1.0,1.646767472521425,>50%
1772591338642460,MX,1.0,1.646767472521425,>50%
1772649173252140,GB,1.0,1.7983200162734085,>50%
1762510571489280,US,1.0,1.9347173056501938,>50%
1772649173252140,IT,1.0,1.9044067968997973,>50%
1772649173252140,IE,1.0,1.495214928769441,>50%
1772649173252140,MA,1.0,1.4800596743942427,>50%
1772649173252140,MX,1.0,1.646767472521425,>50%
1772649173252140,AT,1.0,0.5404339031319432,>50%
1772649173252140,CZ,1.0,1.646767472521425,>50%
1772417713017850,CA,1.0,1.9347173056501938,>50%
1772649173252140,NO,1.0,1.5558359462702345,>50%
1769523944538140,US,1.0,1.9347173056501938,>50%
1772649173252140,IL,1.0,1.495214928769441,>50%
1769733020810290,JP,1.0,10.694454334514855,>50%
1772649173252140,SA,1.0,1.8892515425245988,>50%
1772649173252140,SA,1.0,1.7225437443974165,>50%
1772649173252140,DK,1.0,1.176954586890275,>50%
1772609889191930,NO,1.0,1.5558359462702345,>50%
1773142259968010,BR,1.0,1.3588176393926554,>50%
1772649173252140,CA,1.0,1.9347173056501938,>50%
1772992096037930,TR,1.0,1.6619227268966228,>50%
1773293685750830,AT,1.0,0.5404339031319432,>50%
1773293685750830,CH,1.0,0.6010549206327367,>50%
1773293685750830,TW,1.0,0.6313654293831334,>50%
1773293685750830,CA,1.0,1.8892515425245988,>50%
1773293685750830,AT,1.0,0.5404339031319432,>50%
1773293685750830,PL,1.0,1.6770779812718213,>50%
1747622616763390,IT,1.0,1.252730858766267,>50%
1757409994911790,JP,1.0,4.056452918177966,>50%
1773074251043850,US,1.0,1.9347173056501938,>50%
1772992096037930,ES,1.0,1.9044067968997973,>50%
1772992096037930,PL,1.0,1.980183068775789,>50%
1772992096037930,DK,1.0,1.646767472521425,>50%
1772992096037930,RO,1.0,1.646767472521425,>50%
1772992096037930,NO,1.0,1.646767472521425,>50%
1773006438339580,GB,1.0,1.7983200162734085,>50%
1771977492942860,US,1.0,1.9347173056501938,>50%
1772585321499640,PL,1.0,1.6770779812718213,>50%
1772585321499640,PT,1.0,2.192356630028566,>50%
1772585321499640,GR,1.0,2.3893749369061448,>50%
1772585321499640,HU,1.0,1.5558359462702345,>50%
1772585321499640,FI,1.0,1.5558359462702345,>50%
1736022440976400,ID,1.0,1.9195620512749956,>50%
1773074882047020,US,1.0,1.9347173056501938,>50%
1771127206064160,GB,1.0,1.7983200162734085,>50%
1740654497157120,MY,1.0,2.6773247700349136,>50%
1773603077558320,US,1.0,1.8892515425245988,>50%
1772360893228080,US,1.0,1.5255254375198377,>50%
1773579234164750,US,1.0,1.5255254375198377,>50%
1769383631067180,JP,1.0,4.056452918177966,>50%
1763454226275360,US,1.0,1.8892515425245988,>50%
1772649173252140,PH,1.0,1.646767472521425,>50%
1773301843822590,CA,1.0,1.9347173056501938,>50%
1773595569319930,MY,1.0,2.692480024410113,>50%
1767313715898370,US,1.0,1.8892515425245988,>50%
1773142749094960,US,1.0,1.9347173056501938,>50%
1730682441306140,ZA,1.0,1.3133518762670604,>50%
1773171106415650,VN,1.0,2.4196854456565413,>50%
1773326907578410,US,1.0,1.5255254375198377,>50%
1747674685709340,JP,1.0,4.056452918177966,>50%
1770501606335480,DE,1.0,1.616456963771028,>50%
1772977229258760,JP,1.0,2.465151208782137,>50%
1772977229258760,BR,1.0,2.2075118844037647,>50%
1772977229258760,FR,1.0,2.1772013756533677,>50%
