id,countries,handling_time,score,mod_score_category
1748544247125010,"['MX', 'UY', 'CO', 'CL', 'AR', 'EC', 'PE', 'BR']",3.421120102775933,0.5708403632692913,0-21.2%
6283878,"['MX', 'CL', 'AR', 'CO', 'PE', 'BR']",3.2875402553189508,0.5041306577935109,0-21.2%
5916755,['NO'],3.1938786489030733,0.5190526582301248,0-21.2%
1695200048739329,['IT'],3.3256930260137376,0.5690805952312027,0-21.2%
1736353481347074,"['MX', 'UY', 'CO', 'AR', 'CL', 'EC', 'PE', 'BR']",3.2147372924600885,0.5479736866902736,0-21.2%
1740298905711617,['JP'],2.955049936667856,0.5857178601699037,0-21.2%
1878278,['FR'],3.4026550987173696,0.45283445987738663,0-21.2%
1763374037177377,['BR'],3.444891269370417,0.4446634647253114,0-21.2%
1672502123346950,"['US', 'CA']",3.4180311036149336,0.5512260584127836,0-21.2%
9759789,"['GB', 'IE', 'LV']",2.87512187670658,0.1474397729800904,0-21.2%
1764223632918545,['FI'],3.320555893805744,0.6053026729722613,0-21.2%
2873783,"['US', 'CA']",3.4523310221586962,0.27922907566727495,0-21.2%
7763271,"['US', 'CA']",3.2276559324423872,0.35308175942602443,0-21.2%
7559160,"['NO', 'DK', 'GB', 'SE', 'IE']",3.5055067787026903,0.5606869868580234,0-21.2%
7626565,"['UA', 'RU', 'GB', 'IE']",3.1366225002643624,0.3791422218700153,0-21.2%
6705570,"['TR', 'GB', 'IE']",3.515520363289439,0.5851839046005044,0-21.2%
2708956,"['GB', 'IE']",3.379784472558965,0.5192594517086228,0-21.2%
3022196,"['GB', 'DE', 'IE']",3.354310658581421,0.4672332745092607,0-21.2%
1512827,['PH'],3.1713686043512404,0.5351393254152828,0-21.2%
9065085,"['MX', 'UY', 'CO', 'CL', 'AR', 'EC', 'PE', 'BR']",2.7510536912965637,0.5864379020841822,0-21.2%
2019221,"['MX', 'CL', 'AR', 'CO', 'PE', 'BR']",3.304471594540588,0.5605599064541193,0-21.2%
1715432514674690,"['MX', 'UY', 'CL', 'AR', 'CO', 'EC', 'PE', 'BR']",3.414340293665989,0.5500696421974236,0-21.2%
8328881,"['MY', 'SG']",3.1480260859935925,0.5787030086579503,0-21.2%
1769753698840577,['DE'],3.3298440489604597,0.45056962583473065,0-21.2%
2930379,['TH'],3.3338238348497087,0.5516571761145507,0-21.2%
2658971,"['US', 'CA']",3.2321969635610044,0.48158079038988066,0-21.2%
6103851,"['SA', 'BH', 'ZA', 'OM', 'QA', 'AE', 'TR', 'PK', 'KW', 'MA']",3.4681304368759673,0.48111502375696436,0-21.2%
3109128,['PT'],3.9017712886816445,0.5024679830880148,0-21.2%
1749551102734338,"['SA', 'OM', 'BH', 'QA', 'JO', 'IQ', 'KW', 'MA', 'LB', 'EG']",3.5270708909710247,0.31748464799130105,0-21.2%
1763374037177361,['BR'],3.4355983113468067,0.523596588885446,0-21.2%
2629786,"['GB', 'IE']",3.499757313655506,0.5014981957509647,0-21.2%
5538770,"['AT', 'CH', 'DE']",2.0005952055040956,0.47536095720692934,0-21.2%
1693637244412929,['VN'],3.553366268495357,0.5802903979091837,0-21.2%
6858011,"['CZ', 'GB', 'IE']",0.01,0.5235167732818231,0-21.2%
1686638,"['GB', 'IE', 'FR']",3.3402820737391856,0.35516120420335356,0-21.2%
6561333,"['NO', 'DK', 'GB', 'SE', 'IE']",3.4878350988558133,0.4966990526544236,0-21.2%
