id,countries,handling_time,score,mod_score_category
1689841547143170,"['SA', 'OM', 'BH', 'QA', 'JO', 'IQ', 'KW', 'EG', 'LB']",3.5498724698419273,0.6872312845790921,21.2%-50%
1771763479218193,['DK'],3.3893121965866952,0.7158628357761623,21.2%-50%
6728796,"['TR', 'GB', 'IE']",3.400157685748922,0.6170936833201778,21.2%-50%
1716552374593537,['ID'],2.8623406303782155,0.687278827753935,21.2%-50%
1312666,"['SA', 'OM', 'BH', 'QA', 'AE', 'DZ', 'JO', 'IQ', 'KW', 'TN', 'MA', 'LB', 'EG']",0.01,0.7105515063002995,21.2%-50%
1672986653202437,['KZ'],3.4124354555619294,0.6506341922191771,21.2%-50%
7389679,"['MX', 'CO', 'CL', 'AR', 'PE', 'BR']",3.461739426035306,0.6747805673757978,21.2%-50%
7977305,['JP'],3.4294162715658665,0.7044984465024315,21.2%-50%
1811986,['ID'],3.5474064723754846,0.7171157545081783,21.2%-50%
2326827,"['MX', 'CL', 'AR', 'CO', 'PE', 'BR']",3.45718981650514,0.6336043853205013,21.2%-50%
1707706610145282,['NL'],3.208935139490341,0.716263585493249,21.2%-50%
1771651753636882,['JP'],3.2429083975233537,0.6426764162418099,21.2%-50%
1716146333169665,"['MX', 'UY', 'CO', 'CL', 'AR', 'EC', 'PE', 'BR']",3.142472347404113,0.6928436057492714,21.2%-50%
1719108856889346,['SE'],3.1917817002097872,0.7060228262824724,21.2%-50%
1694295112088577,['CZ'],3.4403595776917375,0.7269153780067061,21.2%-50%
1739309378401282,['VN'],3.473414662035064,0.7004235081121714,21.2%-50%
1737428902974466,['PL'],3.393221368404709,0.6874415255455767,21.2%-50%
1700711913253889,['BG'],3.418046230422663,0.640897778519743,21.2%-50%
1767847119851554,['HU'],3.406659537244272,0.6574589604699281,21.2%-50%
1769097368736786,['MY'],3.458327043708054,0.6994705968173076,21.2%-50%
9659971,"['UA', 'RU', 'BY']",3.4333132802144797,0.7317013182005361,21.2%-50%
1759961674413106,['US'],3.452425526195319,0.6321640984264872,21.2%-50%
5618519,"['ID', 'SG']",3.222597964773918,0.7187981571698097,21.2%-50%
1752737541815297,['DE'],3.3706505557879454,0.7288338988059408,21.2%-50%
3116616,['KR'],3.3835299830314454,0.6374512243403121,21.2%-50%
