id,countries,handling_time,score
1748544247125010,"['MX', 'UY', 'CO', 'CL', 'AR', 'EC', 'PE', 'BR']",0.7034472502001634,0.4876516079313962
6283878,"['MX', 'CL', 'AR', 'CO', 'PE', 'BR']",0.675900176645262,0.4455898430394992
5916755,['NO'],0.656585113704804,0.4715858808724496
1695200048739329,['IT'],0.6837681088271059,0.46846827245837785
1736353481347074,"['MX', 'UY', 'CO', 'AR', 'CL', 'EC', 'PE', 'BR']",0.660886620251333,0.45207332451094656
1878278,['FR'],0.699639364245236,0.3773591504918154
1763374037177377,['BR'],0.7083493824239253,0.39359990811035894
1672502123346950,"['US', 'CA']",0.7028102313030841,0.4543536858176189
9759789,"['GB', 'IE', 'LV']",0.5908505256139805,0.13715159715378367
1764223632918545,['FI'],0.6827087202929153,0.5232046904392714
1759961674413106,['US'],0.7099031102570398,0.5294048746021607
2873783,"['US', 'CA']",0.7098836214666447,0.21962146419427828
7763271,"['US', 'CA']",0.6635507251488647,0.27655159188604655
1729842322829314,"['US', 'CA']",0.6868230825079121,0.5295205073098086
7559160,"['NO', 'DK', 'GB', 'SE', 'IE']",0.7208496204907615,0.47620194229875734
7626565,"['UA', 'RU', 'GB', 'IE']",0.6447776489708076,0.3276784754797462
6705570,"['TR', 'GB', 'IE']",0.7229146397014492,0.5025344993631732
2708956,"['GB', 'IE']",0.6949229430707388,0.4638372833419674
3022196,"['GB', 'DE', 'IE']",0.689669687877516,0.39587212805948707
1512827,['PH'],0.651943052310078,0.48472592616394156
9065085,"['MX', 'UY', 'CO', 'CL', 'AR', 'EC', 'PE', 'BR']",0.5652649639115427,0.5141260711350534
2019221,"['MX', 'CL', 'AR', 'CO', 'PE', 'BR']",0.6793917875117262,0.4759552825668769
1715432514674690,"['MX', 'UY', 'CL', 'AR', 'CO', 'EC', 'PE', 'BR']",0.7020491059157125,0.44535634381349704
1733016321234945,"['US', 'CA']",0.6775553149241621,0.5279820975066067
1711419252224001,['PH'],0.7312164491487274,0.5248195297673104
1769753698840577,['DE'],0.6846241401568187,0.3569808550938779
9921960,"['GB', 'IE']",0.7079162092293698,0.5151131710691583
2930379,['TH'],0.6854448586761988,0.49714158203839
2658971,"['US', 'CA']",0.6644871846569498,0.41371501319497106
6103851,"['SA', 'BH', 'ZA', 'OM', 'QA', 'AE', 'TR', 'PK', 'KW', 'MA']",0.7131418048500419,0.38282359507356106
